Trace,LRU IPC,LLC Total MPKI,LLC Load MPKI,LLC Latency,L2C Total MPKI,L2C Load MPKI,L2C Latency,L1D Total MPKI,L1D Load MPKI,L1D Latency,L1I Total MPKI,L1I Load MPKI,L1I Latency,RQ Misses,WQ Full cycles
srv_67.txt,0.851300,1.945480,1.400100,162.900000,15.918320,13.538910,40.010000,20.960830,14.887910,26.000000,34.069480,34.069480,13.150000,148837,89687
srv_68.txt,0.802000,2.072740,1.382560,166.600000,18.082980,15.427470,39.190000,20.840530,14.433180,28.600000,31.649620,31.649620,14.500000,162813,88720
srv_69.txt,0.698800,2.313530,1.541620,158.600000,20.864800,17.687320,37.680000,21.656610,14.695110,29.220000,33.224360,33.224360,15.970000,189831,86836
srv_7.txt,0.774600,2.134470,1.468340,170.700000,19.037190,16.001720,39.240000,22.046960,15.147860,28.360000,33.743120,33.743120,14.670000,163156,90048
srv_70.txt,0.642100,0.145570,0.079140,181.800000,8.279120,6.988190,22.980000,31.552470,16.661000,8.899000,60.740030,60.740030,9.422000,8984,5330
srv_71.txt,0.626600,0.046710,0.038250,161.400000,8.068400,7.035540,20.820000,43.041630,25.613900,8.321000,72.932270,72.932270,8.931000,3204,376
srv_72.txt,0.623400,0.014030,0.013940,193.700000,5.083350,4.284760,20.060000,36.085540,19.482700,6.892000,76.898030,76.898030,8.464000,758,0
srv_73.txt,0.597900,0.790810,0.568050,189.200000,9.460140,8.360010,35.680000,42.326110,24.908500,11.550000,71.633280,71.633280,9.245000,47794,8611
srv_74.txt,0.588200,0.059090,0.031970,164.200000,9.967520,8.281820,20.660000,32.470610,16.744900,8.381000,66.341590,66.341590,9.752000,3553,1395
srv_75.txt,0.527200,23.020120,7.675100,653.700000,32.105950,13.919530,489.400000,117.026550,35.643630,131.000000,67.578300,67.578300,7.420000,1446891,1464469
srv_76.txt,0.528300,22.862230,7.650950,642.100000,32.104880,13.955570,478.000000,116.664760,35.638210,128.400000,67.554910,67.554910,7.608000,1431683,1455029
srv_8.txt,1.081000,4.563130,2.865560,262.600000,9.713760,7.521430,143.800000,22.618740,12.566300,55.750000,16.224640,16.224640,15.550000,343970,204522
srv_9.txt,1.075000,6.679970,6.050970,185.800000,7.967370,7.223330,176.600000,84.975200,81.773670,21.090000,4.783650,4.783650,33.710000,351087,60996
